,AnonymizedID,SubjectType,AGE,Visit,MRIQ_01,MRIQ_02,MRIQ_03,MRIQ_04,MRIQ_05,MRIQ_06,MRIQ_07,MRIQ_08,MRIQ_09,MRIQ_10,MRIQ_11,MRIQ_12,MRIQ_13,MRIQ_14,MRIQ_15,MRIQ_16,MRIQ_17,MRIQ_18,MRIQ_19,MRIQ_20,MRIQ_21,MRIQ_22,MRIQ_23,MRIQ_24,MRIQ_25,MRIQ_26,MRIQ_27,MRIQ_28,MRIQ_29,MRIQ_30,MRIQ_31,FAC1_CONTENT_18_55,FAC2_CONTENT_18_55,FAC3_CONTENT_18_55,FAC4_CONTENT_18_55,FAC5_CONTENT_18_55,FAC1_FORM_18_55,FAC2_FORM_18_55,FAC3_FORM_18_55,FAC1_CONTENT_all,FAC2_CONTENT_all,FAC3_CONTENT_all,FAC4_CONTENT_all,FAC5_CONTENT_all,FAC1_FORM_all,FAC2_FORM_all,FAC3_FORM_all,include
754,A00008326,Adult- Age 22-59,59.3369863,V2,1,1,1,1,1,1,1,1,1,1.0,1,1,1,9,9,9,1,9,5,1,1,1,9,1.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,,,,,,,,,-1.825612542,2.238348417,-0.264690002,-0.880065283,-0.704786376,-0.991435113,0.272628249,-1.448392798,1
329,A00008399,Adult- Age 22-59,23.3890411,V2,3,5,5,4,6,7,6,5,3,5.0,5,6,3,6,6,6,4,6,6,7,6,5,3,7.0,3.0,3.0,6.0,4.0,6.0,3.0,5.0,-0.180625022,0.928124971,0.380423794,0.793919401,-0.552293127,-0.379014652,0.971500944,-0.023652261,0.957319641,-0.129017322,0.738499676,0.288702833,-0.201117545,-0.389828772,1.070927361,-0.012924476,1
8,A00018030,Child-Age 11,11.6739726,V2,1,2,4,6,4,2,2,1,1,3.0,2,1,1,4,5,6,1,6,1,2,1,1,1,5.0,2.0,2.0,6.0,2.0,6.0,1.0,1.0,,,,,,,,,-0.570764588,0.544544206,-0.692223101,-1.20318288,0.609957733,-0.94396572,0.448827391,-1.063447159,1
6,A00027159,Child-Age 11,11.27671233,V2,7,9,2,4,4,6,3,2,1,6.0,7,2,1,7,8,8,1,4,6,4,2,2,2,6.0,3.0,3.0,2.0,5.0,7.0,7.0,4.0,,,,,,,,,0.342808252,0.345230446,-1.03315553,-0.169873503,1.553582362,-0.056068283,0.134563032,0.405327127,1
88,A00027167,Child - Age 14,14.90958904,V2,1,5,7,9,5,5,9,5,1,5.0,1,5,1,9,9,9,1,5,5,5,5,1,1,7.0,1.0,5.0,1.0,5.0,5.0,1.0,6.0,,,,,,,,,1.251912965,1.42832336,-1.029344976,-0.749123332,0.222227828,-0.132171051,0.098934622,-0.067479596,1
122,A00027439,Child - Age 15,15.54520548,V2,1,1,1,1,1,2,1,3,1,2.0,2,2,1,9,6,9,1,5,9,9,9,1,1,1.0,1.0,2.0,2.0,5.0,9.0,5.0,1.0,,,,,,,,,-0.835437899,1.036089056,-0.418812839,1.322051183,-2.140075841,-0.232168204,-0.613474668,-0.741767543,1
121,A00027443,Child - Age 15,15.52876712,V2,1,1,5,5,1,1,4,1,1,1.0,1,8,1,6,1,1,1,5,1,1,1,1,1,8.0,1.0,3.0,1.0,7.0,2.0,1.0,1.0,,,,,,,,,0.459381196,-0.273741873,-0.055151666,-1.618287285,-0.860854974,-0.606665653,0.101219613,-0.680679186,1
307,A00027544,Adult- Age 22-59,22.76438356,V2,9,3,5,9,2,9,7,6,7,6.0,7,9,5,9,9,7,3,9,9,9,9,9,9,5.0,9.0,3.0,7.0,1.0,4.0,8.0,5.0,0.895362912,2.301049319,0.893266025,-0.027306404,-0.107164742,-0.075820365,1.046341275,1.200365306,0.504991267,0.857781287,2.396655811,1.020158431,-0.493306287,-0.003400028,1.082330773,1.230434303,1
573,A00028150,Adult- Age 22-59,44.82465753,V2,4,5,6,7,4,5,5,3,6,8.0,7,3,7,5,5,8,2,5,8,9,7,7,3,6.0,5.0,4.0,6.0,5.0,5.0,5.0,4.0,-0.328850714,1.153317778,1.193466625,0.077489666,0.031422763,0.115070896,0.578393706,0.313459706,-0.032702773,-0.052400109,1.458855991,1.04100955,0.267370826,0.12536955,0.674627551,0.326429834,1
652,A00028152,Adult- Age 22-59,51.36438356,V2,1,1,1,6,1,1,1,1,1,5.0,2,1,1,5,5,8,1,5,5,2,4,1,1,4.0,1.0,5.0,1.0,3.0,8.0,3.0,1.0,0.607231369,-0.818894298,-0.181775394,-1.374398614,-0.054574847,-0.260758999,-0.459432408,-0.927476794,-1.428926633,0.834916977,-0.610586552,-0.039749531,-0.065001448,-0.239390543,-0.416592267,-0.893352353,1
