Anonymized ID,MeanFD_Power,MeanFD_Jenkinson
A00008326,0.3189,0.2036
A00008399,0.2227,0.1628
A00010893,0.3188,0.1984
A00013809,0.403,0.2325
A00018030,0.1052,0.0653
A00019903,0.3002,0.1882
A00021039,0.2527,0.2046
A00023510,0.1685,0.107
A00025566,0.4235,0.2982
A00027159,0.076,0.0427
A00027167,0.1322,0.0705
A00027439,0.2698,0.1638
A00027443,0.2277,0.1502
A00027544,0.6409,0.3999
A00027651,0.3483,0.2079
A00028150,0.3309,0.2243
A00028152,0.3124,0.2135
A00028177,0.2755,0.1837
A00028184,0.2623,0.1653
A00028185,0.2151,0.1476
A00028192,0.4809,0.315
A00028207,0.1615,0.1211
A00028246,0.1858,0.1474
A00028266,0.3968,0.2936
A00028287,0.2879,0.1958
A00028339,0.4938,0.3436
A00028340,0.2156,0.1498
A00028352,0.2945,0.1706
A00028380,0.2165,0.1594
A00028389,0.4698,0.2818
A00028399,0.1881,0.1484
A00028400,0.2563,0.1608
A00028429,0.2939,0.2253
A00028430,0.3237,0.2251
A00028468,0.3586,0.2256
A00028552,0.1728,0.1352
A00028605,0.4597,0.2992
A00028606,0.1339,0.0979
A00028613,0.3003,0.2362
A00028625,0.2546,0.1703
A00028656,0.1148,0.0927
A00028678,0.3854,0.2451
A00028691,0.1852,0.1405
A00028694,0.1239,0.0875
A00028753,0.4261,0.3125
A00028754,0.1185,0.0762
A00028766,0.2545,0.1638
A00028784,0.3263,0.2354
A00028822,0.4358,0.3565
A00028842,0.1684,0.1281
A00028844,0.2897,0.1873
A00028845,0.2204,0.1458
A00028858,0.4686,0.2679
A00028912,0.4055,0.2451
A00028929,0.2771,0.2076
A00028994,0.3127,0.2177
A00028995,0.2393,0.1627
A00029075,0.3723,0.2385
A00029076,0.1985,0.1255
A00029092,0.1248,0.1002
A00029104,0.4822,0.3339
A00029126,0.2985,0.214
A00029127,0.1726,0.1276
A00029215,0.1837,0.1322
A00029219,0.1749,0.1147
A00029230,0.6992,0.4643
A00029231,0.2024,0.1272
A00029303,0.1407,0.1001
A00029304,0.1947,0.1383
A00029979,0.1323,0.0948
A00030912,0.3196,0.209
A00030913,0.2174,0.1294
A00030947,0.3199,0.1857
A00030980,0.3129,0.172
A00030981,0.2593,0.1618
A00030989,0.2075,0.1341
A00030990,0.3241,0.2059
A00031167,0.3431,0.225
A00031216,0.1604,0.1313
A00031217,0.1329,0.0835
A00031219,0.1439,0.0975
A00031272,0.7854,0.4935
A00031410,0.2963,0.1605
A00031411,0.2526,0.1406
A00031452,0.2871,0.2371
A00031459,0.2569,0.1635
A00031549,0.1831,0.1229
A00031578,0.5544,0.2978
A00031604,0.321,0.2088
A00031605,0.2204,0.1552
A00031625,0.1544,0.111
A00031683,0.1882,0.1413
A00031794,0.548,0.3266
A00031872,0.1978,0.1405
A00031881,0.2007,0.1317
A00031893,0.2191,0.162
A00031894,0.2345,0.185
A00032007,0.1666,0.1103
A00032010,0.2919,0.2444
A00032817,1.0164,0.6066
A00032862,0.5174,0.357
A00032875,0.1856,0.1352
