"","","","I have a reserved and cautious attitude toward life.","I have trouble controlling my impulses.","I generally seek new and exciting experiences and sensations.","I generally like to see things through to the end.","When I am very happy, I can't seem to stop myself from doing things that can have bad consequences.","My thinking is usually careful and purposeful.","I have trouble resisting my cravings (for food, cigarettes, etc.).","I'll try anything once.","I tend to give up easily.","When I am in a great mood, I tend to get into situations that could cause me problems.","I am not one of those people who blurt out things without thinking.","I often get involved in things I later wish I could get out of.","I like sports and games in which you have to choose your next move very quickly.","Unfinished tasks really bother me.","When I am very happy, I tend to do things that may cause problems in my life.","I like to stop and think things over before I do them.","When I feel bad, I will often do things I later regret in order to make myself feel better now.","I would enjoy water skiing.","Once I get going on something I hate to stop.","I tend to lose control when I am in a great mood.","I don't like to start a project until I know exactly how to proceed.","Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.","I quite enjoy taking risks.","I concentrate easily.","When I am really ecstatic, I tend to get out of control.","I would enjoy parachute jumping.","I finish what I start.","I tend to value and follow a rational, 'sensible' approach to things.","When I am upset I often act without thinking.","Others would say I make bad choices when I am extremely happy about something.","I welcome new and exciting experiences and sensations, even if they are a little frightening and unconventional.","I am able to pace myself so as to get things done on time.","I usually make up my mind through careful reasoning.","When I feel rejected, I will often say things that I later regret.","Others are shocked or worried about the things I do when I am feeling very excited.","I would like to learn to fly an airplane.","I am a person who always gets the job done.","I am a cautious person.","It is hard for me to resist acting on my feelings.","When I get really happy about something, I tend to do things that can have bad consequences.","I sometimes like doing things that are a bit frightening.","I almost always finish projects that I start.","Before I get into a new situation I like to find out what to expect from it.","I often make matters worse because I act without thinking when I am upset.","When overjoyed, I feel like I can't stop myself from going overboard.","I would enjoy the sensation of skiing very fast down a high mountain slope.","Sometimes there are so many little things to be done that I just ignore them all.","I usually think carefully before doing anything.","Before making up my mind, I consider all the advantages and disadvantages.","When I am really excited, I tend not to think of the consequences of my actions.","In the heat of an argument, I will often say things that I later regret.","I would like to go scuba diving.","I tend to act without thinking when I am really excited.","I always keep my feelings under control.","When I am really happy, I often find myself in situations that I normally wouldn't be comfortable with.","I would enjoy fast driving.","When I am very happy, I feel like it is ok to give in to cravings or overindulge.","Sometimes I do impulsive things that I later regret.","I am surprised at the things I do while in a great mood.","Negative Urgency Score","lack of Premeditation Score","(lack of) Perseverance Score","Sensation Seeking Score","Positive Urgency Score","Total Score"
"Anonymized ID","Subject Type","Visit","UPPS_01","UPPS_02","UPPS_03","UPPS_04","UPPS_05","UPPS_06","UPPS_07","UPPS_08","UPPS_9","UPPS_10","UPPS_11","UPPS_12","UPPS_13","UPPS_14","UPPS_15","UPPS_16","UPPS_17","UPPS_18","UPPS_19","UPPS_20","UPPS_21","UPPS_22","UPPS_23","UPPS_24","UPPS_25","UPPS_26","UPPS_27","UPPS_28","UPPS_29","UPPS_30","UPPS_31","UPPS_32","UPPS_33","UPPS_34","UPPS_35","UPPS_36","UPPS_37","UPPS_38","UPPS_39","UPPS_40","UPPS_41","UPPS_42","UPPS_43","UPPS_44","UPPS_45","UPPS_46","UPPS_47","UPPS_48","UPPS_49","UPPS_50","UPPS_51","UPPS_52","UPPS_53","UPPS_54","UPPS_55","UPPS_56","UPPS_57","UPPS_58","UPPS_59","UPPS_60","UPPS_61","UPPS_62","UPPS_63","UPPS_64","UPPS_65"
"A00037783","Adult- Age 22-59","V1","2","2","2","1","4","1","4","4","4","4","1","3","1","2","4","2","4","2","2","4","3","4","2","3","4","3","1","2","4","2","2","3","2","3","4","3","1","2","3","4","3","2","2","4","4","2","2","2","2","4","3","2","3","2","2","2","2","2","2","21","21","19","32","23","116"
"A00028929","Older Adult- Age 60-64","V1","2","4","1","1","4","2","2","2","3","4","2","2","3","2","4","1","4","2","2","4","1","2","3","3","4","2","2","3","4","4","2","2","3","2","4","4","2","2","2","4","2","2","2","3","4","4","2","2","2","2","3","2","2","2","2","2","2","3","3","26","22","21","31","23","123"
"A00038519","Older Adult- Age 65-85","V1","2","4","3","1","4","2","4","2","3","4","2","2","4","2","4","2","4","4","2","4","2","3","3","2","4","4","2","2","3","3","3","2","2","4","4","4","1","1","4","4","4","1","1","4","4","4","4","2","2","3","4","2","4","3","3","2","3","4","3","18","20","16","21","19","94"
"A00051835","Older Adult- Age 60-64","V1","1","1","4","1","4","1","4","4","3","4","3","4","4","2","4","1","4","4","3","4","1","4","4","4","4","4","1","1","4","4","4","1","1","4","4","4","1","1","2","4","4","1","1","4","4","4","4","1","1","4","3","4","4","2","4","4","4","3","4","20","13","17","12","14","76"
"A00035827","Adult- Age 22-59","V1","1","1","3","1","1","1","1","1","3","3","1","3","1","1","3","1","3","3","3","3","1","3","3","1","3","3","1","1","3","3","3","3","3","3","3","3","3","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","29","19","20","28","30","126"
"A00037457","Adult- Age 22-59","V1","2","2","2","2","2","1","4","2","3","3","2","1","4","2","3","2","2","1","2","3","2","2","1","3","2","4","2","2","1","2","2","3","2","2","2","4","2","2","2","2","3","2","2","1","1","4","1","1","1","2","1","1","2","2","2","4","4","1","2","38","19","24","28","38","147"
"A00037545","Adult- Age 22-59","V1","4","2","2","1","3","2","2","1","4","3","2","3","1","4","3","2","4","2","2","3","2","4","2","2","4","2","1","1","4","4","2","1","1","4","4","2","1","4","2","4","2","1","1","4","4","1","4","2","1","4","2","3","3","2","4","1","2","4","3","22","22","15","39","22","120"
"A00037522","Older Adult- Age 60-64","V1","2","2","3","2","4","2","4","4","3","4","2","2","3","2","4","2","3","4","2","4","2","3","3","3","3","2","1","2","3","4","2","1","2","2","3","3","2","2","1","4","3","2","2","2","3","2","3","2","2","3","2","4","3","2","4","2","4","2","2","31","22","19","25","21","118"
"A00051517","Older Adult- Age 65-85","V1","2","2","2","2","4","2","2","2","3","3","4","2","3","2","4","2","3","2","2","3","2","3","3","2","3","4","2","2","3","4","3","2","2","3","4","4","2","2","3","3","4","2","2","3","3","3","2","1","1","3","3","4","3","2","4","1","2","2","2","28","22","21","25","25","121"
