Q01,I thought about things I am currently worried about ,Concerns
Q02,I thought about people I have just recently met,People
Q03,I thought of people I have known for a long time (friends),Friend
Q04,I thought about members of my family,Family
Q05,I thought about an event that took place earlier today,Today - Past
Q06,I thought about an interaction I may possibly have in the future,Social - Future
Q07,I thought about an interaction with somebody that took place in the past,Social - Past
Q08,I thought about something that happened at a place very close to me,Near Location
Q09,I thought about something that made me feel guilty,Guilt
Q10,I thought about an event that may take place later today ,Today - Plan
Q11,I thought about something that happened in the recent past (last couple of days but not today) ,Recent Past
Q12,I thought about something that happened a long time ago in the past ,Distant Past
Q13,I thought about something that made me angry ,Anger
Q14,I thought about something that made me happy ,Happiness
Q15,I thought about something that made me cheerful ,Cheerfulness
Q16,I thought about something that made me calm ,Calm
Q17,I thought about something that made me sad ,Sadness
Q18,I thought about something that is important to me,Importnace
Q19,I thought about something that could still happen today ,Today - Future
Q20,I thought about something that may take place in the distant future ,Distant Future
Q21, I thought about something that could take place in the near future (days or weeks but not today) ,Near Future
Q22,I thought about personal worries,Worries
Q23,I thought about something that happened in a place far away from where I am now,Distant Location
Q24,In the form of images:,Image
Q25,In the form of words:,Words
Q26,Like an inner monologue or audiobook:,Inner Monologue
Q27,Like a television program or film:,Film
Q28,Had a strong and consistent personal narrative:,Narrative
Q29,Had a clear sense of purpose:,Purpose
Q30,Vague and non-specific:,Vagueness
Q31,Fragmented and disjointed:,Fragment
