,,,count,comp1,comp2,comp3,comp4
VIS-SOM,VIS,SOM,2,0,0,1,1
VIS-DAN,VIS,DAN,2,0,1,1,0
VIS-VAN,VIS,VAN,1,0,0,0,1
VIS-LIM,VIS,LIM,1,1,0,0,0
VIS-FPN,VIS,FPN,1,0,0,1,0
VIS-DMN,VIS,DMN,2,0,0,1,1
SOM-DAN,SOM,DAN,1,0,1,0,0
SOM-VAN,SOM,VAN,1,0,0,0,1
SOM-LIM,SOM,LIM,2,0,1,0,1
SOM-FPN,SOM,FPN,2,0,1,0,1
SOM-DMN,SOM,DMN,2,1,0,1,0
DAN-VAN,DAN,VAN,2,0,1,0,1
DAN-LIM,DAN,LIM,1,1,0,0,0
DAN-FPN,DAN,FPN,2,0,0,1,1
DAN-DMN,DAN,DMN,2,1,0,1,0
VAN-LIM,VAN,LIM,1,1,0,0,0
VAN-FPN,VAN,FPN,1,1,0,0,0
VAN-DMN,VAN,DMN,2,1,0,0,1
LIM-FPN,LIM,FPN,2,0,1,0,1
LIM-DMN,LIM,DMN,0,0,0,0,0
FPN-DMN,FPN,DMN,1,0,1,0,0
