,,,count,comp1,comp2,comp3,comp4,chance
VIS-SOM,VIS,SOM,2,0,0,1,1,2
VIS-DAN,VIS,DAN,2,0,1,1,0,2
VIS-VAN,VIS,VAN,1,0,0,0,1,2
VIS-LIM,VIS,LIM,1,1,0,0,0,2
VIS-FPN,VIS,FPN,1,0,0,1,0,2
VIS-DMN,VIS,DMN,2,0,0,1,1,2
SOM-DAN,SOM,DAN,1,0,1,0,0,2
SOM-VAN,SOM,VAN,1,0,0,0,1,2
SOM-LIM,SOM,LIM,2,0,1,0,1,2
SOM-FPN,SOM,FPN,2,0,1,0,1,2
SOM-DMN,SOM,DMN,2,1,0,1,0,2
DAN-VAN,DAN,VAN,2,0,1,0,1,2
DAN-LIM,DAN,LIM,1,1,0,0,0,2
DAN-FPN,DAN,FPN,2,0,0,1,1,2
DAN-DMN,DAN,DMN,2,1,0,1,0,2
VAN-LIM,VAN,LIM,1,1,0,0,0,2
VAN-FPN,VAN,FPN,1,1,0,0,0,2
VAN-DMN,VAN,DMN,2,1,0,0,1,2
LIM-FPN,LIM,FPN,2,0,1,0,1,2
LIM-DMN,LIM,DMN,0,0,0,0,0,2
FPN-DMN,FPN,DMN,1,0,1,0,0,2
