,0,1,2,3
Concerns,-0.01649556139403811,0.49276826885035196,-0.0,-0.0
People,-0.0,0.33973752900705667,0.0,0.0
Friend,-0.0,0.08308951589357415,0.0,0.0
Family,0.0,-0.0,0.2559471525194567,-0.0
Today - Past,0.0,-0.0,0.0,0.0
Social - Future,0.3074254564475163,-0.0,0.0,-0.0
Social - Past,0.0,-0.0,0.1229111849872099,0.008088207336989676
Near Location,0.0,-0.0,0.22497080935837438,0.0
Guilt,-0.0,0.18002769038664557,-0.0,0.0
Today - Plan,0.41612306949936634,-0.0,0.0,-0.33340642802161236
Recent Past,0.0,-0.0,0.09247721993295992,0.1694541715913596
Distant Past,0.0,-0.0,0.0,0.035043759251323414
Anger,-0.023583159035931126,0.4265531412707227,-0.0,0.0
Happiness,-0.0,0.379675872410625,0.0,0.0
Cheerfulness,-0.0,0.4565113438486525,0.0,-0.0
Calm,0.0,-0.0,0.3237266429439662,0.0
Sadness,0.0,-0.1693793861593225,0.05090445640041532,0.2059048728099691
Importnace,0.011283542553168427,-0.004082705011706463,0.5175345868711632,-0.013868963455091057
Today - Future,0.15341883661765576,-0.0,0.008471964847334146,-0.0
Distant Future,0.0,-0.0,0.3012207737073193,0.06963458910582247
Near Future,0.0,-0.0,0.41175914449167766,0.0
Worries,0.0,-0.0,0.0,0.15502719751431146
Distant Location,0.0,-0.0,0.4739582482007295,-0.011865025531721423
Image,0.0,0.0,0.0,0.3249264778273049
Words,0.2374029038251069,-0.06492309239487944,0.0,-0.0
Inner Monologue,0.5081343966206759,-0.0,-0.0,-0.6426094401801377
Film,0.22350515724115805,-0.0,0.0,-0.0
Narrative,0.3032532001293757,-0.0,0.0,-0.0
Purpose,0.4932049682962058,-0.0,-0.0,-0.4493114717205946
Vagueness,0.0,-0.0,0.0,0.17019530561606136
Fragment,0.09005192853662038,-0.187133634865033,0.0,0.1945462732982847
