,0,1,2,3
Concerns,#f2f5f6,#b72230,#f7f6f6,#f7f6f6
People,#f7f6f6,#e17860,#f7f6f6,#f7f6f6
Friend,#f7f6f6,#fbe5d8,#f7f6f6,#f7f6f6
Family,#f7f6f6,#f7f6f6,#f4a683,#f7f6f6
Today - Past,#f7f6f6,#f7f6f6,#f7f6f6,#f7f6f6
Social - Future,#e8896c,#f7f6f6,#f7f6f6,#f7f6f6
Social - Past,#f7f6f6,#f7f6f6,#fddcc9,#f7f5f4
Near Location,#f7f6f6,#f7f6f6,#f6b394,#f7f6f6
Guilt,#f7f6f6,#f9c6ac,#f7f6f6,#f7f6f6
Today - Plan,#ce4f45,#f7f6f6,#f7f6f6,#62a7ce
Recent Past,#f7f6f6,#f7f6f6,#fbe3d4,#facab1
Distant Past,#f7f6f6,#f7f6f6,#f7f6f6,#f9f0eb
Anger,#f0f4f6,#cb4942,#f7f6f6,#f7f6f6
Happiness,#f7f6f6,#d7634f,#f7f6f6,#f7f6f6
Cheerfulness,#f7f6f6,#c2383a,#f7f6f6,#f7f6f6
Calm,#f7f6f6,#f7f6f6,#e48066,#f7f6f6
Sadness,#f7f6f6,#bddbea,#f9ebe3,#f7b99c
Importnace,#f8f4f2,#f6f7f7,#ae172a,#f3f5f6
Today - Future,#fbd0b9,#f7f6f6,#f7f5f4,#f7f6f6
Distant Future,#f7f6f6,#f7f6f6,#ea8e70,#fae8de
Near Future,#f7f6f6,#f7f6f6,#ce4f45,#f7f6f6
Worries,#f7f6f6,#f7f6f6,#f7f6f6,#fbd0b9
Distant Location,#f7f6f6,#f7f6f6,#bd2d35,#f3f5f6
Image,#f7f6f6,#f7f6f6,#f7f6f6,#e48066
Words,#f5ac8b,#e4eef4,#f7f6f6,#f7f6f6
Inner Monologue,#b3192c,#f7f6f6,#f7f6f6,#053061
Film,#f6b394,#f7f6f6,#f7f6f6,#f7f6f6
Narrative,#e98b6e,#f7f6f6,#f7f6f6,#f7f6f6
Purpose,#b72230,#f7f6f6,#f7f6f6,#327cb7
Vagueness,#f7f6f6,#f7f6f6,#f7f6f6,#facab1
Fragment,#fbe4d6,#b3d6e8,#f7f6f6,#f8bfa4
