FEATURES,N1,N2,COMP1,COMP2,COMP3,COMP4,COUNT,CHANCE
VIS-SOM,VIS,SOM,0,1,0,1,2,1
VIS-DAN,VIS,DAN,1,1,0,1,3,1
VIS-VAN,VIS,VAN,0,1,0,1,2,1
VIS-LIM,VIS,LIM,1,1,1,0,3,1
VIS-FPN,VIS,FPN,0,0,0,1,1,1
VIS-DMN,VIS,DMN,1,0,0,1,2,1
SOM-DAN,SOM,DAN,0,1,1,1,3,1
SOM-VAN,SOM,VAN,0,1,0,1,2,1
SOM-LIM,SOM,LIM,1,1,1,1,4,1
SOM-FPN,SOM,FPN,1,1,1,1,4,1
SOM-DMN,SOM,DMN,1,0,1,1,3,1
DAN-VAN,DAN,VAN,1,1,1,1,4,1
DAN-LIM,DAN,LIM,1,1,1,1,4,1
DAN-FPN,DAN,FPN,1,0,1,1,3,1
DAN-DMN,DAN,DMN,1,0,1,1,3,1
VAN-LIM,VAN,LIM,1,1,1,0,3,1
VAN-FPN,VAN,FPN,1,1,1,0,3,1
VAN-DMN,VAN,DMN,1,0,1,0,2,1
LIM-FPN,LIM,FPN,0,1,1,1,3,1
LIM-DMN,LIM,DMN,0,0,0,0,0,1
FPN-DMN,FPN,DMN,1,0,1,1,3,1
